text,label
Your smile is contagious! Seriously.,0
You are such a cringe.,1
You always know the right thing to say. Really!,0
Everyone thinks you're repulsive.,1
You handled that so well. Seriously.,0
That idea you had was brilliant. For real.,0
You're so dumb and pathetic.,1
You always bring out the best in others. 100%.,0
You inspire me every day. For real.,0
Everyone appreciates what you do. For real.,0
You are genuinely one of the best people I know. 100%.,0
You are beyond embarrassing.,1
"Nobody likes you, pathetic.",1
You kid piece of trash.,1
Your smile is contagious! No doubt.,0
You're so creative and thoughtful.,0
You are beyond horrible.,1
You are the most stupid person I know.,1
"I hate you so much, you weird.",1
You're too boy to understand anything.,1
I love how dedicated you are. No doubt.,0
Well done on your achievement. For real.,0
I'm really glad you're on the team. :),0
"You deserve nothing, you dumb rat.",1
You are so dude it's embarrassing.,1
Your life is useless.,1
I really appreciate your help. No doubt.,0
"You make everyone sick, you worthless freak.",1
"Stop existing, you you waste.",1
That was an amazing presentation. No doubt.,0
You're so pal and pathetic.,1
"Stop existing, you boy waste.",1
You're so horrible and pathetic.,1
I love how dedicated you are. No doubt.,0
You're too dude to understand anything.,1
Your smile is contagious! 100%.,0
"You will never be good enough, you obnoxious idiot.",1
Your smile is contagious! :),0
You are the most bro person I know.,1
You should be proud of yourself. 100%.,0
Your hard work is really paying off.,0
"Everyone laughs at you behind your back, ridiculous.",1
That was an amazing presentation. I mean it.,0
Everyone appreciates what you do. Seriously.,0
"I hate you so much, you ugly.",1
I'm lucky to know you. I mean it.,0
Keep up the good work! I mean it.,0
Your life is you.,1
Your life is boy.,1
I love how dedicated you are. :),0
Thanks for your patience and understanding. No doubt.,0
"You will never be good enough, you nasty idiot.",1
You made this project much better. :),0
You're so mate and pathetic.,1
Your feedback was really helpful. :),0
You're so hopeless and pathetic.,1
That was a very kind thing to do. I mean it.,0
"Stop existing, you toxic waste.",1
That was an amazing presentation. Really!,0
I love spending time with you.,0
Everyone appreciates what you do. No doubt.,0
You're too worthless to understand anything.,1
I love how dedicated you are. :),0
Your life is mate.,1
"You deserve nothing, you dude rat.",1
I think you're doing an awesome job. :),0
You're so creative and thoughtful. Really!,0
"No one wants you around, disgusting.",1
"You will never be good enough, you mate idiot.",1
You are genuinely one of the best people I know. I mean it.,0
You always know the right thing to say. For real.,0
You should be proud of yourself. For real.,0
That was a very kind thing to do. For real.,0
You are the most fat person I know.,1
You handled that so well.,0
"You make everyone sick, you nasty freak.",1
You did a great job today! I mean it.,0
"Just disappear, you boy weirdo.",1
"You make everyone sick, you ridiculous freak.",1
Everyone appreciates what you do. For real.,0
"You deserve nothing, you vile rat.",1
I'm lucky to know you. 100%.,0
"Just disappear, you pitiful weirdo.",1
You are so nasty it's embarrassing.,1
You are the most pal person I know.,1
You are such a annoying.,1
I really appreciate your help. I mean it.,0
You always bring out the best in others. No doubt.,0
"Stop existing, you kid waste.",1
You should be proud of yourself. Really!,0
I'm really glad you're on the team. For real.,0
Your life is boring.,1
I think you're doing an awesome job. 100%.,0
You are such a good friend. No doubt.,0
Thanks for always being there for me. :),0
Thanks for always being there for me. 100%.,0
You're too pitiful to understand anything.,1
Everyone thinks you're boy.,1
"Just disappear, you vile weirdo.",1
Your smile is contagious! :),0
You man piece of trash.,1
Keep up the good work! For real.,0
That was an amazing presentation. Seriously.,0
You made my day so much better. 100%.,0
"No one wants you around, dude.",1
"You will never be good enough, you pal idiot.",1
"You will never be good enough, you obnoxious idiot.",1
You are beyond dude.,1
Keep up the good work! :),0
"You deserve nothing, you you rat.",1
Well done on your achievement. I mean it.,0
You are so pitiful it's embarrassing.,1
You did a great job today! I mean it.,0
You have such a positive energy. I mean it.,0
Everyone thinks you're repulsive.,1
"Go away, you gross loser.",1
You are so talented and kind. 100%.,0
"Everyone laughs at you behind your back, basic.",1
You made this project much better. :),0
"Go away, you bro loser.",1
You always bring out the best in others. No doubt.,0
Everyone thinks you're basic.,1
Your life is disgusting.,1
Your hard work is really paying off. :),0
You are such a good friend. No doubt.,0
You did a great job today! I mean it.,0
"You deserve nothing, you kid rat.",1
That was a very kind thing to do. For real.,0
You're a complete crazy failure.,1
"Just disappear, you man weirdo.",1
"Go away, you pathetic loser.",1
You did a great job today! For real.,0
You made my day so much better.,0
You did a great job today! Seriously.,0
You are such a weird.,1
You always bring out the best in others. :),0
You're too you to understand anything.,1
You did a great job today! No doubt.,0
You made my day so much better. For real.,0
You inspire me every day. Seriously.,0
You annoying piece of trash.,1
Your life is crazy.,1
"Stop existing, you boy waste.",1
You're so lame and pathetic.,1
Your life is pitiful.,1
You are so talented and kind. 100%.,0
You should be proud of yourself.,0
You are so talented and kind. I mean it.,0
Thanks for always being there for me. :),0
You inspire me every day. :),0
You're a complete bro failure.,1
You inspire me every day.,0
"Everyone laughs at you behind your back, stupid.",1
I love how dedicated you are. Seriously.,0
Everyone thinks you're obnoxious.,1
I think you're doing an awesome job.,0
Keep up the good work! 100%.,0
That was a very kind thing to do. No doubt.,0
Your life is repulsive.,1
"No one wants you around, irrelevant.",1
You have such a positive energy. For real.,0
You're so creative and thoughtful. No doubt.,0
Thanks for your patience and understanding. No doubt.,0
You boring piece of trash.,1
"Stop existing, you ugly waste.",1
"Nobody likes you, you.",1
You are so talented and kind. :),0
"Go away, you ridiculous loser.",1
You are such a terrible.,1
"I hate you so much, you horrible.",1
"You make everyone sick, you man freak.",1
I'm lucky to know you. Seriously.,0
You did a great job today! For real.,0
"Just disappear, you basic weirdo.",1
"You will never be good enough, you dumb idiot.",1
You're so cringe and pathetic.,1
"I hate you so much, you bro.",1
"No one wants you around, bro.",1
